model_key,stage,abm_config,n_candidates,hire_quota,error_type,error_message
yandexgpt_api,abm,n50_hq15,50,15,SSLError,"HTTPSConnectionPool(host='llm.api.cloud.yandex.net', port=443): Max retries exceeded with url: /foundationModels/v1/completion (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081)')))"
yandexgpt_api,abm,n100_hq30,100,30,SSLError,"HTTPSConnectionPool(host='llm.api.cloud.yandex.net', port=443): Max retries exceeded with url: /foundationModels/v1/completion (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081)')))"
