test,language,model,effect_size_d,p_value,interpretation,model_key,within_male_sim,within_female_sim,cross_gender_sim,clustering_gap
WEAT_career_family,en,gigachat_api,0.21195907786483156,0.299,"Male→Career, Female→Family",gigachat_api,,,,
SEAT_occupations,en,gigachat_api,,,,gigachat_api,0.8388216968699178,0.8507601226494587,0.8008277974656951,0.04396311229399308
WEAT_career_family,ru,gigachat_api,0.25270184060827455,0.274,"Male→Career, Female→Family",gigachat_api,,,,
SEAT_occupations,ru,gigachat_api,,,,gigachat_api,0.8805270742583485,0.8898408098859922,0.8570886097696562,0.028095332302514153
